Zip Code,Year,Total population,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years)
95695,2019,41278.0,48.8,51.2,5.9,7.0,7.2,6.3,6.3,13.1,13.0,12.8,6.0,5.6,9.6,4.6,2.5,
95695,2020,40340.0,49.2,50.8,6.0,7.9,6.4,6.2,6.4,14.0,14.0,12.2,5.6,5.8,9.3,3.8,2.4,
95695,2021,40479.0,49.5,50.5,6.1,8.0,6.9,5.7,6.8,13.0,14.5,11.1,5.6,5.7,10.3,4.1,2.1,
95695,2022,39892.0,49.1,50.9,5.7,7.8,6.6,5.1,6.5,13.6,14.5,11.4,5.7,5.9,10.8,4.4,2.1,
95697,2017,392.0,55.9,44.1,0.0,4.1,13.5,6.6,11.7,4.8,4.3,24.2,8.9,4.6,15.1,2.0,0.0,
95697,2018,420.0,57.1,42.9,0.0,4.3,13.6,7.9,15.0,5.2,4.3,16.4,6.4,4.0,16.4,6.4,0.0,0.0
95697,2019,183.0,63.9,36.1,0.0,0.0,0.0,7.7,23.0,0.0,0.0,18.0,5.5,0.0,32.8,13.1,0.0,
95697,2020,188.0,66.5,33.5,0.0,0.0,0.0,8.5,24.5,0.0,0.0,20.7,0.0,0.0,31.4,14.9,0.0,
95697,2021,243.0,72.8,27.2,0.0,0.0,0.0,9.5,38.7,0.0,0.0,23.0,0.0,0.0,19.8,9.1,0.0,
95697,2022,281.0,58.4,41.6,7.5,8.2,16.4,18.5,14.6,0.0,22.1,5.0,0.0,0.0,3.6,4.3,0.0,
95698,2017,215.0,56.3,43.7,0.0,0.0,15.8,7.9,0.0,0.0,18.1,7.9,31.6,0.0,14.4,4.2,0.0,
95698,2018,179.0,55.9,44.1,0.0,0.0,20.1,8.4,0.0,0.0,22.3,10.1,34.1,0.0,0.0,5.0,0.0,0.0
95698,2019,148.0,62.8,37.2,0.0,0.0,0.0,0.0,0.0,0.0,14.2,16.2,43.2,13.5,6.1,6.8,0.0,
95698,2020,193.0,59.6,40.4,0.0,0.0,0.0,0.0,0.0,0.0,10.4,12.4,29.0,9.3,38.9,0.0,0.0,
95698,2021,213.0,55.9,44.1,7.0,6.6,0.0,0.0,0.0,13.6,0.0,13.1,8.9,12.2,33.8,0.0,4.7,
95698,2022,196.0,51.0,49.0,7.7,7.1,0.0,0.0,0.0,13.8,0.0,14.3,0.0,13.8,38.3,0.0,5.1,
95912,2017,4830.0,49.9,50.1,8.0,7.3,8.1,11.3,6.1,14.2,9.3,13.8,5.9,4.0,7.9,2.9,1.2,
95912,2018,5010.0,53.1,46.9,7.4,8.1,7.3,10.0,5.1,17.0,9.7,13.1,6.0,3.7,8.7,2.6,1.3,0.0
95912,2019,5380.0,51.5,48.5,7.3,6.5,8.7,10.2,6.4,13.3,12.8,10.4,7.5,4.5,8.5,2.2,1.5,
95912,2020,5112.0,51.1,48.9,7.9,5.9,7.4,8.2,7.8,14.6,12.6,8.9,6.4,8.9,6.7,2.1,2.5,
95912,2021,4782.0,52.4,47.6,8.7,5.3,7.4,7.8,8.6,13.7,12.1,9.0,6.7,9.9,7.4,1.1,2.3,
95912,2022,4908.0,52.5,47.5,6.9,6.1,7.6,6.3,8.9,14.2,12.9,9.9,4.7,11.0,6.6,2.4,2.5,
95932,2017,7669.0,52.2,47.8,8.3,9.8,6.8,5.8,7.6,11.5,12.8,9.5,8.5,4.3,9.6,4.8,0.8,
95932,2018,7742.0,52.0,48.0,7.9,9.1,7.3,5.5,8.0,11.9,12.4,10.0,8.2,5.1,8.9,4.6,1.1,0.0
95932,2019,7633.0,52.7,47.3,6.7,8.1,6.0,6.4,7.6,12.4,12.3,10.8,8.0,5.3,9.8,5.5,1.1,
95932,2020,7573.0,51.1,48.9,5.4,7.9,7.1,7.2,5.2,10.7,14.2,10.9,7.1,5.6,10.2,6.1,2.4,
95932,2021,7963.0,50.7,49.3,5.6,7.8,7.2,7.0,5.1,12.7,13.8,9.9,6.0,6.6,11.0,4.8,2.6,
95932,2022,7789.0,50.8,49.2,5.2,8.1,8.0,7.0,5.0,11.3,14.1,10.6,5.5,6.3,11.4,5.1,2.4,
95937,2017,1569.0,49.0,51.0,5.1,4.4,11.6,5.9,7.4,11.1,9.2,11.8,4.9,5.7,12.4,7.8,2.7,
95937,2018,1442.0,47.9,52.1,5.8,2.6,13.3,4.7,4.6,14.5,5.5,12.5,5.1,9.0,14.7,4.0,3.6,0.0
95937,2019,1540.0,47.3,52.7,10.3,4.9,11.1,3.3,5.9,18.1,5.7,11.8,3.1,7.3,12.1,2.8,3.4,
