County,ZIP Code,Year,New,Renewed,Insured-Initiated Nonrenewed,Insurer-Initiated Nonrenewed,Non-Renewed,Active
Napa,94515,2019,258,1951,204.0,70.0,274,2209
Solano,94533,2019,2294,15834,1708.0,268.0,1976,18128
Solano,94534,2019,1501,11469,1167.0,196.0,1363,12970
Solano,94535,2019,0,6,8.0,2.0,10,6
Napa,94558,2019,1961,17732,1515.0,317.0,1832,19693
Napa,94559,2019,732,6484,529.0,97.0,626,7216
Napa,94562,2019,2,18,3.0,0.0,3,20
Napa,94567,2019,30,118,12.0,8.0,20,148
Solano,94571,2019,929,4127,480.0,76.0,556,5056
Napa,94573,2019,1,43,2.0,1.0,3,44
Napa,94574,2019,318,2429,226.0,94.0,320,2747
Napa,94576,2019,5,50,8.0,2.0,10,55
Solano,94585,2019,816,7534,671.0,109.0,780,8350
Solano,94591,2019,1715,14812,1344.0,211.0,1555,16527
Napa,94599,2019,94,794,80.0,17.0,97,888
Sonoma,95401,2019,927,8443,734.0,92.0,826,9370
Sonoma,95403,2019,1359,9497,1064.0,159.0,1223,10856
Sonoma,95404,2019,1331,10737,1064.0,271.0,1335,12068
Sonoma,95405,2019,601,6204,506.0,88.0,594,6805
Sonoma,95409,2019,1018,8228,744.0,179.0,923,9246
Sonoma,95412,2019,9,77,3.0,3.0,6,86
Sonoma,95416,2019,3,11,2.0,0.0,2,14
Sonoma,95419,2019,45,224,18.0,14.0,32,269
Sonoma,95421,2019,107,688,52.0,44.0,96,795
Lake,95422,2019,751,4362,488.0,242.0,730,5113
Lake,95423,2019,272,1778,169.0,78.0,247,2050
Lake,95424,2019,18,136,13.0,4.0,17,154
Sonoma,95425,2019,379,3119,288.0,66.0,354,3498
Lake,95426,2019,170,645,73.0,69.0,142,815
Sonoma,95430,2019,3,69,8.0,3.0,11,72
Sonoma,95433,2019,2,43,4.0,1.0,5,45
Sonoma,95436,2019,256,2097,165.0,91.0,256,2353
Sonoma,95439,2019,10,163,9.0,1.0,10,173
Sonoma,95441,2019,46,424,31.0,12.0,43,470
Sonoma,95442,2019,158,1091,81.0,51.0,132,1249
Sonoma,95444,2019,24,239,19.0,6.0,25,263
Mendocino,95445,2019,191,956,73.0,65.0,138,1147
Sonoma,95446,2019,370,2399,223.0,125.0,348,2769
Sonoma,95448,2019,594,4888,408.0,111.0,519,5482
Mendocino,95449,2019,29,259,23.0,9.0,32,288
Sonoma,95450,2019,41,241,24.0,8.0,32,282
Lake,95451,2019,757,3709,354.0,301.0,655,4466
Sonoma,95452,2019,66,593,45.0,16.0,61,659
Lake,95457,2019,192,968,85.0,73.0,158,1160
Lake,95461,2019,178,915,93.0,58.0,151,1093
Sonoma,95462,2019,115,789,65.0,38.0,103,904
Sonoma,95465,2019,62,564,35.0,15.0,50,626
Lake,95467,2019,403,2093,232.0,118.0,350,2496
Sonoma,95471,2019,8,145,15.0,5.0,20,153
Sonoma,95472,2019,888,8921,620.0,171.0,791,9809
Sonoma,95476,2019,1194,10663,943.0,193.0,1136,11857
Sonoma,95486,2019,8,51,14.0,8.0,22,59
Sonoma,95492,2019,847,8099,704.0,74.0,778,8946
Sonoma,95497,2019,224,1163,135.0,34.0,169,1387
Yolo,95606,2019,5,33,11.0,4.0,15,38
Yolo,95607,2019,8,64,6.0,1.0,7,72
Yolo,95616,2019,710,8298,641.0,63.0,704,9008
Solano,95620,2019,623,4941,460.0,76.0,536,5564
Solano,95625,2019,18,55,16.0,4.0,20,73
Yolo,95627,2019,105,865,72.0,22.0,94,970
Yolo,95637,2019,14,69,11.0,1.0,12,83
Yolo,95653,2019,12,113,7.0,3.0,10,125
Yolo,95679,2019,5,15,1.0,2.0,3,20
Solano,95687,2019,1993,16149,1660.0,201.0,1861,18142
Solano,95688,2019,1335,10499,998.0,158.0,1156,11834
Yolo,95694,2019,286,2076,177.0,52.0,229,2362
Yolo,95695,2019,927,8564,746.0,157.0,903,9491
Yolo,95697,2019,9,58,3.0,5.0,8,67
Yolo,95698,2019,4,51,2.0,1.0,3,55
Colusa,95912,2019,120,898,96.0,19.0,115,1018
Colusa,95932,2019,216,1719,169.0,52.0,221,1935
Yolo,95937,2019,52,296,32.0,19.0,51,348
Colusa,95979,2019,22,217,15.0,6.0,21,239
Colusa,95987,2019,159,1117,104.0,27.0,131,1276
Napa,94503,2020,538,4916,483.0,51.0,534,5454
Napa,94508,2020,65,694,50.0,10.0,60,759
Solano,94510,2020,695,7618,658.0,71.0,729,8313
Solano,94512,2020,5,23,3.0,1.0,4,28
Napa,94515,2020,289,1979,188.0,59.0,247,2268
Solano,94533,2020,2165,16157,1668.0,271.0,1939,18322
Solano,94534,2020,1412,11633,1156.0,170.0,1326,13045
Solano,94535,2020,0,8,1.0,0.0,1,8
Napa,94558,2020,1798,17904,1531.0,256.0,1787,19702
Napa,94559,2020,674,6603,578.0,68.0,646,7277
Napa,94562,2020,0,16,0.0,1.0,1,16
Napa,94567,2020,22,140,6.0,5.0,11,162
Solano,94571,2020,664,4442,546.0,58.0,604,5106
Napa,94573,2020,4,37,3.0,4.0,7,41
Napa,94574,2020,287,2487,241.0,35.0,276,2774
Napa,94576,2020,2,67,4.0,1.0,5,69
Solano,94585,2020,859,7507,745.0,102.0,847,8366
Solano,94591,2020,1598,14848,1417.0,190.0,1607,16446
Napa,94599,2020,105,786,90.0,10.0,100,891
Sonoma,95401,2020,826,8521,699.0,91.0,790,9347
Sonoma,95403,2020,1315,9664,978.0,143.0,1121,10979
Sonoma,95404,2020,1295,10738,1007.0,218.0,1225,12033
Sonoma,95405,2020,596,6256,509.0,99.0,608,6852
Sonoma,95409,2020,959,8396,795.0,110.0,905,9355
Sonoma,95412,2020,61,235,51.0,9.0,60,296
Sonoma,95416,2020,4,13,1.0,0.0,1,17
Sonoma,95419,2020,32,223,16.0,16.0,32,255
Sonoma,95421,2020,66,737,51.0,23.0,74,803
Lake,95422,2020,667,4447,536.0,208.0,744,5114
Lake,95423,2020,278,1804,219.0,66.0,285,2082
Lake,95424,2020,7,115,17.0,6.0,23,122
Sonoma,95425,2020,361,3147,289.0,57.0,346,3508
Lake,95426,2020,84,668,73.0,25.0,98,752
Sonoma,95430,2020,3,63,2.0,1.0,3,66
Sonoma,95433,2020,2,39,3.0,1.0,4,41
Sonoma,95436,2020,228,2169,176.0,50.0,226,2397
Sonoma,95439,2020,16,199,5.0,5.0,10,215
Sonoma,95441,2020,54,417,30.0,9.0,39,471
Sonoma,95442,2020,140,1126,118.0,32.0,150,1266
Sonoma,95444,2020,31,254,17.0,3.0,20,285
Mendocino,95445,2020,139,1040,106.0,34.0,140,1179
Sonoma,95446,2020,353,2568,227.0,80.0,307,2921
Sonoma,95448,2020,529,5023,400.0,116.0,516,5552
Mendocino,95449,2020,46,268,34.0,4.0,38,314
Sonoma,95450,2020,37,250,30.0,9.0,39,287
Lake,95451,2020,687,4010,540.0,121.0,661,4697
Sonoma,95452,2020,63,601,57.0,7.0,64,664
Lake,95457,2020,119,1040,108.0,27.0,135,1159
Lake,95461,2020,120,1003,89.0,23.0,112,1123
Sonoma,95462,2020,109,813,101.0,42.0,143,922
Sonoma,95465,2020,67,576,48.0,20.0,68,643
Lake,95467,2020,332,2187,255.0,57.0,312,2519
Sonoma,95471,2020,18,105,12.0,14.0,26,123
Sonoma,95472,2020,939,9067,691.0,188.0,879,10006
Sonoma,95476,2020,1272,10739,1071.0,196.0,1267,12011
Sonoma,95486,2020,3,53,1.0,1.0,2,56
Sonoma,95492,2020,826,8149,702.0,122.0,824,8975
Sonoma,95497,2020,171,1114,134.0,24.0,158,1285
Yolo,95606,2020,7,30,4.0,2.0,6,37
Yolo,95607,2020,10,58,13.0,3.0,16,68
Yolo,95616,2020,650,8284,594.0,58.0,652,8934
Solano,95620,2020,750,5008,545.0,67.0,612,5758
Solano,95625,2020,11,46,10.0,1.0,11,57
Yolo,95627,2020,78,869,78.0,16.0,94,947
Yolo,95637,2020,19,72,11.0,6.0,17,91
Yolo,95653,2020,12,103,10.0,2.0,12,115
Yolo,95679,2020,4,12,2.0,1.0,3,16
Solano,95687,2020,2254,16292,1754.0,178.0,1932,18546
Solano,95688,2020,1404,10577,1137.0,169.0,1306,11981
Yolo,95694,2020,322,2149,180.0,52.0,232,2471
Yolo,95695,2020,852,8644,707.0,129.0,836,9496
Yolo,95697,2020,11,65,4.0,2.0,6,76
Yolo,95698,2020,5,47,3.0,0.0,3,52
Colusa,95912,2020,152,959,115.0,25.0,140,1111
Colusa,95932,2020,239,1708,172.0,47.0,219,1947
Yolo,95937,2020,34,259,20.0,3.0,23,293
